Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
1,76,No,7,3,50
2,71,No,7,7,47
5,53,Yes,7,2,35
9,84,No,9,9,79
9,56,Yes,7,3,52
4,79,No,9,3,66
8,67,No,4,1,61
7,85,No,9,5,77
6,43,No,8,6,29
5,82,No,9,5,66
1,88,Yes,4,5,63
5,84,Yes,7,3,66
4,97,Yes,8,7,81
1,80,Yes,4,3,51
5,81,No,6,5,67
2,43,Yes,7,8,21
3,73,No,7,6,56
9,91,No,7,1,91
1,74,Yes,6,5,49
1,48,No,4,9,21
5,71,No,8,0,57
2,85,No,8,6,63
3,47,Yes,4,7,27
4,43,No,5,1,22
7,62,Yes,8,0,56
6,40,Yes,6,2,29
4,87,No,8,0,69
6,45,No,4,4,34
9,96,No,6,8,93
9,83,No,9,8,85
9,84,No,8,7,81
1,81,Yes,4,4,55
5,49,Yes,5,0,31
4,65,No,4,1,46
2,48,Yes,4,2,26
6,89,No,4,4,76
7,52,Yes,7,0,44
7,54,No,9,3,47
8,58,No,5,3,52
9,98,No,8,5,96
2,96,No,7,5,77
4,66,No,8,0,47
8,89,No,7,8,87
4,50,No,5,1,30
4,77,Yes,8,6,63
4,50,No,5,6,33
3,83,Yes,6,4,63
2,78,Yes,8,0,58
8,75,Yes,5,2,69
6,90,Yes,8,0,80
6,84,No,9,0,75
7,47,No,6,7,37
1,49,Yes,4,4,20
2,63,Yes,4,5,41
2,81,No,7,2,59
6,92,Yes,5,3,80
5,99,No,4,9,83
7,40,Yes,9,6,34
7,70,No,7,1,59
3,71,No,7,1,49
8,45,No,4,6,39
3,47,No,7,1,23
3,52,Yes,9,1,33
8,90,No,8,9,88
9,53,Yes,4,9,48
3,52,No,5,7,32
3,61,Yes,8,3,42
3,45,No,5,2,24
9,87,No,4,3,83
9,43,Yes,8,6,41
1,85,Yes,8,0,60
3,81,Yes,5,7,62
7,50,Yes,8,3,44
4,45,Yes,7,0,28
1,73,Yes,5,8,50
1,87,No,7,5,62
8,90,Yes,7,3,85
6,60,No,5,8,51
4,70,No,5,4,51
8,91,No,8,4,84
1,87,No,7,2,58
8,94,Yes,8,7,89
7,88,No,8,8,79
5,92,Yes,6,5,78
9,92,Yes,4,2,87
3,83,Yes,7,5,61
7,52,No,8,5,44
9,86,No,5,2,79
5,64,No,7,3,50
2,46,No,6,1,22
8,73,No,4,1,66
5,75,No,9,7,61
4,51,Yes,5,8,36
5,83,No,6,5,70
8,85,No,9,2,77
4,53,Yes,6,3,35
3,47,No,7,1,23
7,85,Yes,8,8,78
2,92,No,8,2,67
7,47,No,8,5,37
4,87,Yes,7,0,68
5,89,No,7,0,77
4,69,No,7,0,50
4,59,Yes,9,5,42
4,53,No,5,0,32
5,94,Yes,8,9,81
2,53,Yes,7,4,27
4,62,No,5,4,43
6,47,Yes,8,4,39
7,50,Yes,5,0,44
5,48,Yes,8,1,35
3,86,Yes,9,5,69
9,61,Yes,4,7,57
1,69,No,7,0,40
6,63,Yes,5,1,48
8,44,No,4,3,37
6,62,Yes,9,0,52
2,69,No,5,4,45
6,99,Yes,8,7,90
6,57,No,9,2,46
8,96,Yes,4,1,85
5,95,Yes,6,7,82
7,52,No,8,4,42
9,43,Yes,8,3,43
9,74,Yes,7,6,72
4,62,No,8,1,45
1,42,Yes,5,6,17
5,99,Yes,7,4,89
4,87,Yes,8,9,72
9,57,No,9,3,57
6,46,Yes,4,1,32
3,87,Yes,8,3,67
4,40,No,9,7,21
8,81,No,4,1,74
9,73,No,7,0,71
5,55,Yes,7,4,41
7,89,No,5,5,78
7,40,No,8,2,30
2,51,No,5,0,27
8,69,Yes,4,8,63
5,76,Yes,9,1,64
7,47,No,5,3,36
3,89,No,9,7,72
8,73,Yes,6,5,66
7,96,No,5,3,82
3,80,Yes,8,0,62
7,75,Yes,4,5,66
8,71,Yes,5,9,62
9,93,Yes,9,4,93
6,96,Yes,5,6,83
2,93,No,4,3,71
5,75,No,7,0,63
9,45,Yes,8,4,43
4,41,Yes,5,7,23
4,92,No,4,8,74
2,98,Yes,8,5,78
4,94,Yes,4,7,76
9,84,Yes,5,3,80
7,49,No,6,8,41
4,67,No,7,3,48
7,99,Yes,4,3,94
1,77,No,6,9,52
4,55,Yes,5,5,39
6,76,No,8,2,64
8,95,Yes,7,3,91
1,46,No,4,7,20
7,65,Yes,7,3,58
3,45,Yes,7,7,26
2,68,Yes,8,4,46
3,73,No,5,0,50
1,90,Yes,9,3,67
7,79,Yes,5,9,71
4,41,No,5,0,21
1,45,No,9,6,22
9,81,Yes,7,9,78
7,41,Yes,7,8,34
3,78,Yes,8,9,60
1,90,Yes,7,1,64
8,79,No,6,5,75
1,57,No,5,0,30
8,49,Yes,8,0,45
2,69,No,8,3,49
8,74,No,7,5,67
1,57,Yes,8,0,27
3,71,Yes,8,4,51
1,66,No,8,7,39
2,69,Yes,6,7,46
5,66,Yes,4,3,49
7,82,No,6,0,71
2,85,Yes,7,2,64
7,79,Yes,9,5,73
3,90,Yes,8,6,69
8,64,No,6,2,56
2,52,Yes,7,8,29
1,93,Yes,8,0,68
9,76,Yes,5,2,74
5,94,No,5,6,81
5,45,Yes,7,4,32
9,86,Yes,8,8,82
5,79,No,7,0,63
1,62,Yes,9,5,38
4,66,Yes,4,8,48
8,50,Yes,6,6,48
6,45,Yes,8,3,38
9,95,No,5,6,90
9,77,No,6,9,76
2,49,Yes,4,4,30
6,83,Yes,4,7,71
6,53,No,9,2,39
5,90,No,4,5,76
8,92,No,6,0,90
7,56,No,4,5,46
6,62,Yes,8,0,54
7,50,Yes,7,2,42
9,49,No,5,0,46
8,63,Yes,9,2,58
2,87,Yes,8,7,62
4,92,Yes,4,0,74
4,98,No,5,1,80
9,44,No,5,8,42
8,66,No,6,7,63
8,49,No,4,0,40
3,48,No,5,0,24
6,54,Yes,5,6,43
1,53,No,5,0,26
7,41,Yes,4,2,29
7,74,No,8,0,71
4,93,No,8,5,74
9,43,Yes,9,8,42
1,93,Yes,5,9,69
2,87,No,4,9,67
6,56,No,9,8,47
7,74,Yes,7,4,66
3,86,Yes,9,8,70
4,99,No,9,5,86
7,97,No,9,9,91
4,44,No,8,9,27
2,52,No,9,0,29
8,88,Yes,5,9,84
9,53,No,5,1,46
4,74,Yes,5,5,55
2,56,No,4,0,30
2,87,No,9,2,64
4,61,Yes,7,5,46
9,72,No,7,1,73
3,49,No,4,4,26
1,61,No,4,2,32
4,98,No,7,2,78
6,93,No,7,0,82
9,83,Yes,6,9,85
3,52,Yes,4,9,33
4,97,No,7,7,81
2,62,No,4,8,40
5,95,No,9,5,83
8,56,Yes,5,2,45
6,49,No,6,2,36
4,58,Yes,7,1,40
3,54,Yes,7,7,29
9,51,No,4,8,46
9,82,Yes,6,8,81
2,52,Yes,9,8,28
1,42,Yes,5,5,15
1,65,No,7,4,37
6,87,No,7,9,76
7,77,No,9,8,70
5,42,Yes,7,3,32
6,45,No,5,6,33
1,73,Yes,7,3,49
3,55,No,4,3,36
2,90,No,9,7,70
4,70,Yes,8,4,55
4,49,No,4,6,29
1,40,No,5,6,13
8,79,Yes,7,9,77
9,45,Yes,7,4,43
8,70,No,5,2,63
1,78,No,5,1,50
8,88,Yes,6,1,82
3,55,Yes,4,7,36
4,78,No,9,6,58
1,43,Yes,4,5,16
4,49,Yes,8,6,31
7,49,No,5,4,36
4,84,Yes,9,2,67
1,68,No,8,1,39
3,74,Yes,8,8,55
5,87,Yes,6,3,73
2,64,Yes,4,2,42
4,70,Yes,4,3,51
3,95,No,6,1,76
8,93,Yes,9,9,88
4,68,No,4,1,46
6,84,Yes,7,7,79
6,90,Yes,4,7,80
5,57,Yes,5,3,42
2,80,Yes,4,4,57
6,53,Yes,7,1,39
6,86,Yes,7,9,79
7,46,No,5,2,36
3,47,No,9,2,28
1,40,Yes,8,9,18
3,55,Yes,5,4,36
1,89,No,9,7,63
4,52,No,5,3,35
9,69,Yes,4,9,65
6,65,No,8,7,54
8,73,Yes,5,6,70
9,78,Yes,5,1,73
1,67,Yes,4,6,39
3,92,No,7,9,72
7,79,No,7,3,69
5,91,Yes,6,9,79
9,41,No,9,8,37
2,51,No,4,5,27
2,79,No,8,3,59
1,42,No,9,5,18
4,73,No,7,7,55
9,60,No,5,4,59
9,60,Yes,7,1,58
7,79,No,8,3,72
4,65,No,4,1,46
9,46,No,7,3,41
9,86,Yes,6,5,84
5,68,No,4,2,52
1,99,No,7,3,73
3,41,No,4,6,20
9,71,Yes,8,4,68
7,43,Yes,4,1,34
9,55,No,8,8,50
1,92,No,4,6,66
7,77,Yes,6,9,69
1,48,No,8,2,20
8,69,Yes,4,4,61
8,91,No,4,6,87
7,78,Yes,6,8,70
8,60,Yes,4,0,48
3,49,No,4,7,26
6,77,Yes,7,0,64
3,89,Yes,5,4,69
3,94,No,5,6,75
2,48,No,4,8,20
5,97,Yes,7,3,82
1,87,Yes,7,5,64
4,69,No,5,7,53
5,56,No,9,5,42
3,40,No,7,6,21
7,97,No,7,7,88
4,48,No,4,6,29
3,71,Yes,5,0,50
7,83,No,9,8,76
5,70,Yes,9,7,57
4,45,Yes,7,4,25
4,64,Yes,8,3,48
1,71,Yes,5,6,45
6,77,No,6,1,60
8,52,No,6,0,43
7,80,No,8,0,71
8,78,No,4,0,68
9,44,Yes,8,9,42
4,87,No,8,5,74
1,59,Yes,6,0,35
8,69,No,7,1,63
8,97,No,5,1,87
7,53,No,9,4,44
2,92,Yes,6,8,73
4,59,Yes,8,0,42
4,66,Yes,7,9,48
6,59,No,8,5,48
2,41,Yes,7,4,17
7,66,Yes,8,7,60
7,94,No,4,0,83
5,87,No,8,8,71
5,62,No,9,1,43
9,51,No,8,3,48
4,98,Yes,9,6,83
6,57,No,4,7,48
1,49,Yes,7,2,25
3,66,Yes,6,9,43
5,96,Yes,6,7,79
6,71,No,7,9,60
4,66,No,8,6,47
5,70,Yes,5,3,53
4,70,Yes,8,5,56
8,92,No,5,0,83
9,98,Yes,4,8,95
6,64,Yes,8,8,56
9,61,Yes,4,7,57
2,51,No,6,1,26
2,51,No,4,5,27
6,86,No,7,7,75
7,79,No,8,3,72
4,79,No,8,9,66
6,56,No,5,9,41
7,81,Yes,9,4,74
2,59,No,6,5,34
5,62,No,7,4,45
4,57,Yes,8,1,41
5,66,No,8,2,53
8,70,No,5,2,63
4,56,Yes,5,0,38
4,81,No,4,1,59
9,58,Yes,7,3,51
2,52,No,6,0,26
5,70,No,5,3,52
7,62,No,8,5,57
7,91,No,4,3,83
4,62,No,8,8,47
3,97,No,7,5,78
3,79,Yes,6,0,59
6,75,No,6,9,67
6,95,Yes,7,7,86
4,56,Yes,5,8,38
6,41,Yes,4,9,29
3,52,No,8,2,32
9,47,No,4,0,41
5,79,No,5,1,65
5,72,Yes,7,4,57
6,52,No,7,0,38
6,68,Yes,8,7,54
4,52,No,5,5,31
4,94,Yes,4,5,74
2,54,No,5,8,31
3,75,No,4,2,54
2,67,Yes,4,4,40
1,49,Yes,8,6,28
1,95,No,5,4,67
3,81,No,7,0,60
9,64,Yes,8,2,63
3,47,No,9,2,28
1,43,No,6,4,16
3,74,No,7,7,56
4,73,No,7,1,57
8,56,Yes,6,7,52
9,40,Yes,4,4,35
4,64,Yes,9,8,49
4,65,No,5,2,45
6,60,No,4,8,48
4,74,No,7,3,53
1,87,Yes,8,3,64
6,95,Yes,7,7,86
4,40,No,5,4,19
3,52,No,7,4,33
7,95,No,9,6,83
6,49,No,5,7,38
7,42,No,7,3,37
9,46,Yes,8,3,39
7,85,No,8,5,76
7,67,Yes,5,0,59
2,67,No,8,2,44
6,47,No,9,8,37
8,42,Yes,7,4,37
9,51,No,6,8,50
4,56,Yes,5,2,45
2,67,No,8,4,50
2,91,No,9,2,70
6,97,Yes,9,2,90
5,69,No,6,0,57
2,94,No,8,0,70
7,97,Yes,9,4,89
8,66,No,7,5,63
2,57,No,5,8,35
6,64,No,9,9,52
1,76,No,8,5,53
3,63,No,4,6,42
1,75,Yes,4,4,46
7,48,No,8,9,40
8,63,Yes,9,8,62
2,96,No,8,2,72
9,84,No,8,5,82
1,75,Yes,4,5,50
9,66,No,6,0,60
3,71,No,7,1,49
6,77,Yes,9,9,69
4,69,No,5,7,53
3,43,No,6,2,20
4,68,No,7,4,52
6,40,Yes,9,7,32
4,50,No,6,3,31
4,40,Yes,8,4,26
5,65,No,7,2,47
1,73,Yes,5,8,50
2,99,Yes,6,6,79
6,62,Yes,9,2,53
5,85,No,9,4,73
8,87,No,8,6,81
2,44,Yes,4,0,20
1,60,Yes,8,2,31
3,68,Yes,7,6,49
6,63,No,6,9,53
5,44,No,8,0,27
4,57,Yes,7,2,40
1,60,No,7,5,36
6,42,Yes,6,6,32
5,72,Yes,7,4,57
1,55,No,7,3,28
5,48,No,8,8,31
3,62,Yes,5,3,39
2,88,Yes,5,6,66
4,75,No,7,8,60
6,98,No,5,1,88
4,42,Yes,9,2,25
5,66,No,8,2,53
3,77,No,8,4,57
9,97,Yes,7,0,95
4,95,Yes,6,4,78
7,95,No,4,4,85
5,45,Yes,5,6,31
3,79,Yes,9,6,66
9,41,No,6,9,37
7,58,No,4,2,48
7,59,Yes,8,6,49
5,54,No,8,6,37
6,58,Yes,4,8,45
1,48,No,4,0,21
2,60,No,4,3,37
1,60,Yes,7,8,39
1,55,Yes,8,1,29
3,76,No,5,7,55
3,98,Yes,7,8,81
9,78,Yes,6,7,74
4,46,Yes,5,4,27
2,66,No,4,2,42
2,63,Yes,4,6,42
4,89,No,6,3,70
6,72,Yes,4,9,61
3,64,No,5,1,42
5,66,No,7,1,49
7,84,Yes,7,6,72
5,48,Yes,8,6,35
8,61,Yes,4,2,53
1,90,Yes,8,7,67
5,52,No,7,9,37
3,71,Yes,8,4,51
7,50,Yes,4,1,39
5,59,No,8,5,43
2,49,Yes,8,7,28
6,70,No,7,1,58
4,40,No,9,9,25
7,65,Yes,8,2,56
7,92,No,9,7,86
5,76,No,5,2,62
2,75,No,4,9,51
3,77,Yes,5,1,54
8,74,Yes,5,0,68
2,89,No,6,9,65
5,81,No,4,4,67
7,43,No,5,2,34
4,84,Yes,6,4,67
7,47,Yes,7,9,39
3,49,No,6,0,26
3,98,Yes,7,7,78
4,60,Yes,8,2,45
2,48,No,4,8,20
5,80,No,8,9,69
5,56,Yes,5,6,39
1,49,Yes,9,9,24
6,77,Yes,6,4,67
9,53,Yes,6,9,49
5,40,Yes,5,3,26
7,74,No,9,8,70
8,79,Yes,6,4,71
2,50,No,4,1,28
6,79,No,5,5,66
5,91,Yes,7,7,77
4,81,No,6,4,61
7,80,No,4,8,70
3,90,Yes,9,9,75
6,67,Yes,9,7,57
8,47,No,7,9,41
6,95,No,5,5,82
8,49,Yes,4,3,42
3,74,No,7,3,54
1,46,No,8,9,19
1,94,Yes,6,4,70
5,49,No,5,5,33
5,71,No,4,4,56
4,47,Yes,5,1,27
9,50,Yes,9,9,51
9,55,No,7,7,51
5,49,No,6,5,33
2,43,Yes,7,8,21
2,97,Yes,6,1,75
5,89,Yes,8,6,76
4,77,No,4,9,59
3,49,No,4,1,34
1,97,Yes,4,1,70
9,54,Yes,5,7,50
7,54,No,9,4,46
6,44,Yes,4,0,28
8,83,No,7,4,77
4,99,Yes,6,1,81
3,73,Yes,6,3,53
4,49,No,8,4,34
6,59,Yes,4,8,45
1,92,No,8,0,67
1,87,No,7,5,62
1,54,No,4,8,27
5,59,Yes,8,9,48
7,70,No,4,7,62
5,44,No,7,8,32
8,64,No,6,7,61
8,69,No,6,0,60
4,69,Yes,9,9,55
5,52,No,5,6,33
6,77,Yes,9,3,66
5,89,No,6,0,76
8,48,Yes,4,7,42
7,60,Yes,9,3,48
5,59,Yes,9,6,49
1,75,Yes,8,0,52
2,63,Yes,5,8,36
4,81,Yes,5,2,60
5,98,Yes,6,3,84
6,59,Yes,4,1,48
7,56,Yes,8,7,48
4,87,No,5,9,68
2,70,Yes,5,8,47
1,57,Yes,9,1,33
8,54,No,6,6,48
6,48,Yes,6,6,34
1,50,No,8,6,22
9,45,Yes,7,4,43
4,56,Yes,6,1,35
4,80,No,5,5,63
1,53,Yes,8,6,29
6,63,No,5,5,49
1,75,No,8,4,49
5,65,No,9,0,54
7,40,No,6,0,31
1,81,No,5,2,58
8,54,No,6,4,49
6,91,Yes,4,1,78
4,81,No,7,5,67
7,92,Yes,6,6,85
4,82,Yes,8,4,62
3,80,Yes,7,2,63
6,93,No,6,6,84
2,89,No,7,0,67
2,66,No,7,4,43
3,52,No,7,4,33
4,72,No,6,5,56
4,43,No,6,7,24
8,74,No,9,6,68
9,82,No,8,7,77
4,43,No,6,1,24
9,88,Yes,9,3,86
7,40,No,8,0,30
2,96,Yes,6,7,72
5,73,Yes,6,0,59
2,55,No,4,7,32
3,52,Yes,9,5,32
1,81,Yes,6,8,59
8,55,No,5,1,46
2,97,Yes,8,7,75
2,66,No,9,2,42
6,83,Yes,7,1,75
4,82,Yes,7,4,67
5,66,Yes,5,5,49
1,55,No,4,0,29
3,77,Yes,6,9,56
4,45,Yes,7,1,26
6,82,No,6,7,69
8,66,Yes,7,7,64
8,52,Yes,9,2,45
7,74,Yes,8,7,70
4,82,Yes,8,4,62
4,86,Yes,4,4,68
2,98,No,7,9,77
3,74,Yes,4,1,50
3,84,No,9,7,70
1,71,No,5,1,47
5,75,Yes,5,8,60
3,90,Yes,4,5,64
1,93,No,7,3,69
1,94,No,9,4,73
2,54,No,5,3,26
8,96,No,9,5,91
5,64,No,5,8,49
1,88,No,9,2,65
1,50,Yes,6,8,23
9,72,No,9,7,70
6,53,No,5,5,43
3,81,Yes,4,8,63
4,86,No,8,4,71
3,73,No,7,6,56
6,62,Yes,8,4,49
2,94,No,7,5,70
7,65,No,8,3,57
5,69,No,8,1,57
8,84,No,5,0,77
7,62,No,7,6,52
6,67,Yes,5,2,56
1,52,Yes,6,3,27
5,62,Yes,9,4,46
6,92,No,9,2,82
2,67,Yes,7,2,47
7,47,Yes,5,8,39
1,74,Yes,8,0,50
2,90,No,5,9,68
9,76,No,9,8,76
7,90,Yes,8,9,84
4,58,Yes,7,7,43
6,73,Yes,5,6,61
9,70,Yes,8,5,67
7,74,Yes,6,9,66
7,83,Yes,4,2,73
1,60,Yes,4,3,34
2,53,Yes,5,9,26
4,74,No,7,4,57
9,74,No,4,8,71
9,57,Yes,5,7,55
8,82,Yes,4,8,75
6,78,Yes,5,1,67
2,89,No,8,0,67
2,98,Yes,6,3,73
4,61,Yes,6,7,46
7,82,No,7,4,70
9,60,No,8,8,58
2,85,Yes,5,7,64
4,75,Yes,6,9,60
7,40,No,6,0,31
3,97,Yes,5,3,79
4,90,Yes,6,5,74
6,70,Yes,5,2,56
4,42,Yes,9,2,25
2,60,No,5,7,38
1,78,No,8,3,54
8,59,No,7,3,58
6,66,Yes,4,9,56
7,70,Yes,4,2,60
4,67,Yes,7,7,48
1,75,Yes,8,2,53
8,91,No,9,5,90
3,40,No,7,6,21
8,99,Yes,6,1,93
2,98,No,9,8,79
9,44,Yes,5,6,41
8,56,No,4,6,51
4,40,No,6,2,18
1,47,No,9,2,22
8,57,Yes,5,1,51
6,91,Yes,5,3,78
5,70,No,5,6,56
5,62,No,4,5,46
1,68,Yes,5,8,40
3,87,Yes,4,4,65
7,87,No,5,4,78
9,84,No,9,9,79
8,70,Yes,7,5,68
8,90,Yes,5,8,80
9,53,No,9,6,51
5,98,Yes,8,4,84
1,93,No,6,2,65
5,41,Yes,6,7,27
7,54,Yes,8,9,47
4,63,Yes,8,5,46
4,98,No,7,3,80
5,66,No,7,5,52
6,45,No,9,8,32
3,63,No,5,2,38
6,75,No,4,7,64
1,96,Yes,5,1,70
2,47,Yes,7,3,25
9,96,No,7,8,94
7,57,No,7,7,50
2,88,No,8,6,64
9,54,No,9,3,49
7,64,Yes,6,8,58
1,93,No,6,2,65
4,77,Yes,8,0,62
1,57,No,5,0,30
5,81,No,4,1,64
2,52,Yes,9,8,28
4,82,No,8,2,69
7,80,No,8,6,74
9,46,Yes,7,8,42
4,48,Yes,5,8,32
3,82,No,6,6,65
6,70,No,8,5,61
7,72,Yes,4,3,63
1,62,No,8,0,33
4,77,No,9,2,62
5,87,Yes,5,9,73
2,99,Yes,8,1,77
3,71,No,7,1,49
6,69,No,9,4,58
3,55,No,5,7,36
9,56,No,5,6,53
1,99,No,6,9,76
4,40,No,9,3,27
8,76,Yes,8,1,73
5,87,Yes,9,2,77
3,40,No,5,0,17
2,95,No,4,1,75
2,53,No,9,3,31
7,50,Yes,7,2,42
4,79,Yes,4,4,58
8,89,No,5,3,81
2,44,Yes,4,5,17
5,63,Yes,9,8,50
2,75,No,6,0,49
2,87,Yes,4,5,62
4,91,No,4,9,74
6,49,No,6,2,36
7,41,No,4,9,31
8,54,No,7,8,46
1,62,Yes,7,6,36
2,48,No,4,0,18
1,92,Yes,9,7,69
4,43,No,8,2,25
6,53,Yes,4,4,40
2,60,No,4,0,32
9,75,Yes,7,9,78
7,57,Yes,7,7,49
4,56,No,6,6,37
9,85,No,5,0,81
3,65,No,4,4,42
4,53,No,6,9,34
8,84,No,5,8,78
4,99,No,8,8,81
3,94,Yes,6,5,74
5,79,Yes,7,3,65
2,83,Yes,6,2,58
7,84,Yes,8,6,81
3,86,Yes,9,4,67
1,68,No,5,9,45
6,79,No,5,5,66
3,85,No,8,0,65
2,59,Yes,9,8,37
3,52,No,8,2,32
8,75,No,8,3,70
1,75,No,5,9,48
6,66,Yes,7,7,58
2,78,No,8,4,57
5,73,Yes,5,3,59
7,68,No,6,9,61
9,95,Yes,7,2,93
4,74,No,7,3,53
5,82,Yes,8,7,72
6,54,Yes,8,8,44
5,96,No,8,0,81
2,51,No,9,5,31
9,69,No,9,9,64
6,77,Yes,6,4,67
8,53,Yes,7,0,45
2,73,No,8,9,52
9,43,No,4,1,36
9,62,No,9,5,59
5,71,Yes,4,6,54
7,53,No,8,8,47
6,52,Yes,9,9,41
6,58,Yes,9,9,50
3,49,Yes,7,0,24
5,70,No,5,3,57
1,90,Yes,9,3,67
1,43,No,8,6,15
3,85,No,5,0,60
7,47,No,8,5,37
6,94,No,4,9,81
4,89,Yes,7,8,77
1,54,No,4,8,27
1,71,Yes,6,7,44
5,87,No,6,9,76
8,94,No,5,9,88
1,73,Yes,9,1,50
6,55,Yes,4,9,43
6,44,No,6,7,29
8,48,No,6,4,41
4,68,Yes,5,5,50
7,90,Yes,8,9,84
8,60,No,7,2,52
4,64,Yes,9,3,47
8,92,No,6,2,87
8,46,Yes,6,3,41
3,67,Yes,6,0,48
3,48,Yes,7,7,27
4,93,No,4,9,75
3,84,No,6,6,61
2,68,No,6,4,45
2,60,No,6,5,36
4,59,No,9,6,46
5,68,No,5,6,53
4,66,Yes,5,4,48
9,88,Yes,7,6,86
9,54,No,9,3,49
7,47,Yes,7,5,34
4,93,Yes,6,5,72
4,61,Yes,4,4,43
5,78,Yes,8,2,62
7,53,Yes,5,1,41
2,50,Yes,9,5,26
5,45,No,6,0,30
8,97,No,5,1,87
3,58,No,7,0,37
3,75,Yes,7,8,57
4,45,No,4,9,27
1,53,Yes,7,9,31
1,68,No,4,1,38
7,88,Yes,5,3,80
7,47,No,6,9,38
7,89,Yes,5,6,82
1,67,No,4,5,44
8,64,Yes,6,3,53
1,91,No,6,0,61
2,75,No,9,8,52
2,91,Yes,7,7,70
1,51,Yes,8,1,25
8,88,Yes,5,2,81
8,52,No,5,2,45
3,86,No,8,0,68
7,58,Yes,7,9,46
7,71,No,6,8,62
8,66,Yes,4,4,64
2,57,No,6,0,30
5,82,Yes,7,4,68
6,82,No,6,0,72
2,81,Yes,8,5,60
8,50,No,7,9,42
8,41,Yes,4,4,32
1,52,Yes,6,3,27
8,68,No,5,6,65
1,44,Yes,5,7,17
6,84,Yes,9,2,74
2,58,Yes,4,7,32
6,43,No,7,1,30
9,40,Yes,5,3,37
3,47,Yes,4,7,27
9,64,Yes,6,3,58
4,81,No,7,0,61
1,46,No,5,5,21
2,82,No,8,0,57
8,84,No,7,7,78
1,76,Yes,7,1,51
9,57,No,8,3,52
9,90,No,5,8,85
6,54,No,8,6,45
2,81,No,4,5,59
6,41,No,4,1,28
8,95,No,5,2,90
1,50,Yes,4,1,23
6,73,No,8,7,65
9,42,No,5,9,37
1,46,No,8,7,20
3,77,No,8,6,56
8,90,Yes,7,7,90
1,80,No,7,1,51
4,45,Yes,7,1,26
3,43,Yes,4,0,20
5,99,No,4,9,83
2,99,No,6,2,73
5,44,No,6,5,28
9,87,Yes,7,2,85
3,82,Yes,4,3,61
1,54,Yes,4,8,30
3,60,No,6,8,39
9,86,Yes,6,5,84
8,93,Yes,9,7,88
9,76,Yes,5,2,74
3,69,No,7,8,48
4,93,Yes,8,8,80
8,63,No,8,7,60
3,43,No,6,8,23
6,71,No,9,8,60
1,45,No,7,1,16
2,69,No,5,4,45
8,47,Yes,5,6,42
6,86,Yes,6,1,79
2,42,No,4,7,18
3,63,No,4,6,42
6,87,No,8,5,77
1,42,No,8,9,21
2,63,Yes,7,1,39
7,92,Yes,8,0,86
3,80,No,5,6,60
9,62,Yes,7,2,63
5,80,Yes,9,9,70
4,81,No,7,5,67
9,44,Yes,8,6,39
5,84,No,6,5,72
5,66,No,6,1,48
8,41,No,5,9,36
3,75,No,5,8,54
4,40,Yes,4,2,20
5,68,Yes,6,2,53
1,53,Yes,6,2,27
7,57,No,9,3,51
5,76,Yes,9,1,64
7,44,No,9,9,37
5,85,No,9,8,71
3,52,Yes,5,3,33
7,62,No,4,3,48
8,48,No,5,4,40
4,90,Yes,9,8,76
8,73,No,4,5,62
3,55,Yes,5,8,35
9,46,Yes,7,9,45
4,96,No,6,1,77
1,68,Yes,4,4,42
7,83,Yes,5,6,77
4,58,No,7,4,44
9,67,No,4,4,57
5,84,No,8,4,69
4,46,Yes,5,4,30
1,92,Yes,6,7,67
8,74,No,7,4,68
1,58,Yes,6,3,28
9,99,Yes,8,8,100
5,61,Yes,8,7,51
4,75,No,5,0,56
3,97,Yes,7,2,77
6,42,Yes,8,2,28
3,67,Yes,7,4,49
2,81,Yes,4,8,57
2,95,No,6,8,70
3,49,No,7,4,30
3,52,Yes,9,5,32
4,69,No,9,1,55
8,52,Yes,9,2,50
2,51,Yes,5,1,29
7,89,Yes,4,0,79
1,97,No,5,4,72
1,61,Yes,6,6,37
8,44,Yes,9,2,40
8,61,No,7,2,53
7,89,No,4,7,80
4,96,No,6,2,81
6,75,No,7,8,65
7,93,Yes,5,7,85
4,41,No,8,1,22
3,63,Yes,8,1,45
2,88,No,8,6,65
5,56,No,7,8,43
5,72,No,9,9,60
2,40,Yes,7,2,16
7,91,No,9,2,82
7,74,Yes,9,4,69
5,75,No,8,7,59
4,91,Yes,4,3,71
5,97,Yes,5,3,84
5,49,No,9,7,36
8,74,No,5,5,67
4,41,No,6,5,24
5,90,No,5,5,77
7,98,Yes,7,9,91
2,42,No,4,6,15
8,80,No,8,2,76
6,59,No,8,5,49
5,62,Yes,4,7,47
7,81,No,6,1,69
4,41,No,7,0,23
8,57,Yes,7,0,52
6,55,Yes,9,1,44
8,79,Yes,7,4,76
3,85,Yes,5,2,66
7,97,Yes,5,9,91
4,47,Yes,7,5,31
6,90,No,6,2,82
3,82,No,5,6,59
2,71,No,4,8,46
1,81,Yes,5,4,55
1,49,No,6,4,26
6,44,No,9,8,35
2,97,No,5,9,73
5,71,No,8,0,57
3,52,No,8,2,32
8,40,Yes,7,7,31
8,49,Yes,9,6,42
9,70,No,6,5,66
3,49,No,4,4,26
6,59,Yes,8,1,51
2,57,No,6,0,31
8,64,No,5,7,58
4,80,Yes,9,8,66
8,76,No,9,3,71
2,76,Yes,8,8,51
6,42,No,4,6,30
5,77,No,4,2,63
